name,slug,value,date_of_information,ranking,region
"Liechtenstein","liechtenstein","0.00","2017 est.","181","Europe"
"Macau","macau","0.00","2018 est.","182","East and Southeast Asia"
"Maldives","maldives","0.00","2018 est.","183","South Asia"
"Malta","malta","0.00","2018 est.","184","Europe"
"Marshall Islands","marshall-islands","0.00","2018 est.","185","Australia and Oceania"
"Mauritius","mauritius","0.00","2018 est.","186","Africa"
"Monaco","monaco","0.00","2018 est.","187","Europe"
"Nauru","nauru","0.00","2018 est.","188","Australia and Oceania"
"Northern Mariana Islands","northern-mariana-islands","0.00","2018 est.","189","Australia and Oceania"
"Oman","oman","0.00","2018 est.","190","Middle East"
"Palau","palau","0.00","2018 est.","191","Australia and Oceania"
"Puerto Rico","puerto-rico","0.00","2018 est.","192","Central America and the Caribbean"
"Qatar","qatar","0.00","2018 est.","193","Middle East"
"Saint Kitts and Nevis","saint-kitts-and-nevis","0.00","2018 est.","194","Central America and the Caribbean"
"San Marino","san-marino","0.00","2018 est.","195","Europe"
"Saudi Arabia","saudi-arabia","0.00","2018 est.","196","Middle East"
"Singapore","singapore","0.00","2018 est.","197","East and Southeast Asia"
"Turkmenistan","turkmenistan","0.00","2018 est.","198","Central Asia"
"Turks and Caicos Islands","turks-and-caicos-islands","0.00","2018 est.","199","Central America and the Caribbean"
"Tuvalu","tuvalu","0.00","2018 est.","200","Australia and Oceania"
"United Arab Emirates","united-arab-emirates","0.00","2018 est.","201","Middle East"
"Uzbekistan","uzbekistan","0.00","2018 est.","202","Central Asia"
"Virgin Islands","virgin-islands","0.00","2017 est.","203","Central America and the Caribbean"
"West Bank","west-bank","0.00","2018 est.","204","Middle East"
