name,slug,value,date_of_information,ranking,region
"Guam","guam","0.00","2018 est.","105","Australia and Oceania"
"Guatemala","guatemala","0.00","2018 est.","106","Central America and the Caribbean"
"Guinea","guinea","0.00","2018 est.","107","Africa"
"Guinea-Bissau","guinea-bissau","0.00","2018 est.","108","Africa"
"Guyana","guyana","0.00","2018 est.","109","South America"
"Haiti","haiti","0.00","2018 est.","110","Central America and the Caribbean"
"Honduras","honduras","0.00","2018 est.","111","Central America and the Caribbean"
"Hong Kong","hong-kong","0.00","2018 est.","112","East and Southeast Asia"
"Iceland","iceland","0.00","2018 est.","113","Europe"
"Iraq","iraq","0.00","2018 est.","114","Middle East"
"Ireland","ireland","0.00","2018 est.","115","Europe"
"Israel","israel","0.00","2018 est.","116","Middle East"
"Italy","italy","0.00","2018 est.","117","Europe"
"Jamaica","jamaica","0.00","2018 est.","118","Central America and the Caribbean"
"Japan","japan","0.00","2018 est.","119","East and Southeast Asia"
"Jordan","jordan","0.00","2018 est.","120","Middle East"
"Kenya","kenya","0.00","2018 est.","121","Africa"
"Kiribati","kiribati","0.00","2018 est.","122","Australia and Oceania"
"Korea, South","korea-south","0.00","2018 est.","123","East and Southeast Asia"
"Kuwait","kuwait","0.00","2018 est.","124","Middle East"
"Latvia","latvia","0.00","2018 est.","125","Europe"
"Lebanon","lebanon","0.00","2018 est.","126","Middle East"
"Lesotho","lesotho","0.00","2018 est.","127","Africa"
"Liberia","liberia","0.00","2018 est.","128","Africa"
"Libya","libya","0.00","2018 est.","129","Africa"
"Lithuania","lithuania","0.00","2018 est.","130","Europe"
"Luxembourg","luxembourg","0.00","2018 est.","131","Europe"
"Macau","macau","0.00","2018 est.","132","East and Southeast Asia"
"Madagascar","madagascar","0.00","2018 est.","133","Africa"
"Maldives","maldives","0.00","2018 est.","134","South Asia"
"Mali","mali","0.00","2018 est.","135","Africa"
"Malta","malta","0.00","2018 est.","136","Europe"
"Mauritania","mauritania","0.00","2018 est.","137","Africa"
"Mauritius","mauritius","0.00","2018 est.","138","Africa"
"Moldova","moldova","0.00","2018 est.","139","Europe"
"Morocco","morocco","0.00","2018 est.","140","Africa"
"Namibia","namibia","0.00","2018 est.","141","Africa"
"Nepal","nepal","0.00","2018 est.","142","South Asia"
"Netherlands","netherlands","0.00","2018 est.","143","Europe"
"Nicaragua","nicaragua","0.00","2018 est.","144","Central America and the Caribbean"
"Nigeria","nigeria","0.00","2018 est.","145","Africa"
"North Macedonia","north-macedonia","0.00","2018 est.","146","Europe"
"Norway","norway","0.00","2018 est.","147","Europe"
"Oman","oman","0.00","2018 est.","148","Middle East"
"Panama","panama","0.00","2018 est.","149","Central America and the Caribbean"
"Papua New Guinea","papua-new-guinea","0.00","2018 est.","150","East and Southeast Asia"
"Paraguay","paraguay","0.00","2018 est.","151","South America"
"Peru","peru","0.00","2018 est.","152","South America"
"Portugal","portugal","0.00","2018 est.","153","Europe"
"Puerto Rico","puerto-rico","0.00","2018 est.","154","Central America and the Caribbean"
"Qatar","qatar","0.00","2018 est.","155","Middle East"
"Rwanda","rwanda","0.00","2018 est.","156","Africa"
"Saint Kitts and Nevis","saint-kitts-and-nevis","0.00","2018 est.","157","Central America and the Caribbean"
"Saint Lucia","saint-lucia","0.00","2018 est.","158","Central America and the Caribbean"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","0.00","2018 est.","159","Central America and the Caribbean"
"Samoa","samoa","0.00","2018 est.","160","Australia and Oceania"
"Sao Tome and Principe","sao-tome-and-principe","0.00","2018 est.","161","Africa"
"Saudi Arabia","saudi-arabia","0.00","2018 est.","162","Middle East"
"Senegal","senegal","0.00","2018 est.","163","Africa"
